SideCode,SiteName,RelFeatureType,RelFeatureDescription,ReligiousAffiliation,DeityName,RelFeatureDate,BasisOfDate,Sculptures?,SculptureNotes,Inscription(s)?,InscriptionText,InscriptionNotes,AssociatedFeatures,AssociatedArtefacts,SiteInterpretation,InterpretationNotes,,,,,,,,,,,,,,,,
MND03,Mandhal (Bhola Hudki),Temple,"Rectangular brick structure (19x10 m), orientation E-W, Flight of steps (N-S), Brick sizes 44x23x8 cm and 40x24x8 cm;  Sculptures and Copper plates",Unidentified,Unknown,Vakataka,Associated Archaeology,Yes,"A dozen sculptures of the Hindu pantheon, all broken and stylistically belonging to the Gupta-Vakataka period. 1) Sadasiva- ""This image refelects in many respect the Maheshvara image. It is better preserved. The katibandha is twisted instead of ribbed. The heads of the uppermost tier are aligned with the intermediate (antardesa), those of the second tier with the cardinal directions, supposing that the front of the image faced to one of the main quarters, probly east. Heads of the two upper tiers are different from the lower tier by their moustaches, some of which are twisted upwards, others downwards. The heads of the upper tier are somewhat bigger than those of the first."" 2) Andhakasurasamharamurti- ""Andhakasurasamharamurti Image: This image is two armed representing Rudra shiva. The face is damaged."" 3) Naigamesa- ""This image represents another form of Siva. It concerns a deity with the head of a ram. The face of the image is partly damaged, but the right bulging eye appears to be of an animal. The horns flank a thick head of hairs which falls on to the shoulders in a check pattern. The deity wears a necklace and simple bracelets. The dhoti covers  an urdhavalinga and is rolled into a belt. The spare cloths falls along both thighs.. The leg of the image are broken off at the knees, but its two arms have been preserved."" 4) Parvati- ""This well proportioned figure of a female ascetic represents the Goddess in her yogic aspect. The figure is two armes , the right upper arm and the hand is broken off, leaving only part of the right forearm ,which is directed towards the front beside her hip, similar to the right arm of the Sadasiva image. Under the right waist a few beads of aksamalaare still visible. Her left arm is kept straight downwards; the palm of the hand is turned to the front and grasps from behind a spherical object which may represent the Ghata."" 5) Matraka -""This is one of the finest scupture found at Mandhal. The Goddess is seated on a throne which is supported by four delightfully carved loins at the corners, each wearing a necklace and  showing a deterrent face, like the deity herself. The most peculiar aspect is head-dress which consiists of combination of four elements. The hairs at the temples has been smoothly gathered up and braided into a broad and long plait, that falls down the back. The top of the head is covered by alotous cap. At the end of the tapering plait, just above the dhoti, hangs an ornament in the form of a flagon, which is devided by a wavy furrow into the upper and lower halfand which might be a bell. Along the temples at both sides of the braid a pitted roll curves around the ears, reaching till the shoulders. Unless the pits are meant to create the impression of matted hair."" 6) Brahma- ""Four headed male deity is seated with folded hlegs on a lotus throne, the feet crosses each other rather clumsily I n the front. The lotus throne consist of overlapping petals, which are plain except for the raised border and a slight central declivity, The image is probly two armed, the left arm is broken off completely, the right arm just below the armpit. The left hand is preserved and holds a water jar which rests on the left leg., The all four heads have a saumya expression."" 7) Vasudeva- ""It is a damaged bust of a male deity. It appears that the deity was four armed, and only front left upper arm is preserved. The image is broken off from the middle. It is adorned with yajnopavita, and a necklace, while jwelled ear rings rests on the collar bone, Snail like curls fall on the shoulders. A faint srivatsa mark is visible on the breast, the image has a square kiritamukuta which has a beautiful flower rosette at the rear."" 8) Samkarsana- ""The headless figure stands with his right leg slightly bent, both legs are broken off below the knees, but the two arms are intact. The right arm is bent at the elbow and holds an indistinct attribute that is broken off above and below the hand. The left habd rests on the hip, holding an animal by its tail. The hind part of this animal is preserved, hangs against the left thigh. Its right hind leg and shank are clearly visible. Its tail curls around the hand. The wrists are embellished by bracelets, and part of the necklace is visible a top the trunk, below the necklace the srivtsa mark is visible. The deity wears a dhotimarked by two incisions just below the knees-which undergirds a big belly. A coil of a snake are present at the reverse. The upper body of the snake is shown in low relief."" 9) Vrsni- ""It is a standing two arm image holding the stalk of double-petalled lotus in its right hand. The left hand is broken, the deity has highly arched brows, hairs are combed in a fine wave-like tresses towards the left and right, locks fall on the shoulders in a check pattern, three pleats of dhoti falls between the legs, the spare cloth is gathered in folds at both sides. The upper part of the body is naked. The left leg is broken off at the middle of the thigh, the right leg just above the knee. Its ornaments are necklace, a bracelet, and earrings."" 10) Ugra head - ""The head belongs to the Siva pantheon. It represents the terrifying aspect of Mahesvara. Mouth is open showing teeth, horizontal third eye on the forehead.""",Yes,Unknown,"An earthen pot containing three sets of copper plates, one of Pravarasena II and the rest of Prithvisena II of the Vakataka dynasty",Brick structural remains,Red ware,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MND07,Mandhal (Bongi Hudki),Temple,"Excavation ""brought to light
remains of yet another temple. The temple, built on a massive platform (11.70 X 14.70 m) had
a garbhagriha (4.50 X 5.60 m) and mukha-mandapa (4.00 X 3.30 m)."" (IAR 1976-77:39). Presently, a Muslim graveyard and a mosque can be seen above this mound. The area is on an elevated level and has a sizable amount of brickbats and Vakataka brick courses. A small brick alignment was seen near the mango tree hardly a few meters west of the Mosque.The mound is about an acre, but is devoid of pottery. It seems that some large structure is below. The entire mound is beneath mosque and graveyard. The  visible portion is 10 X 15 mts. approx. ",Unidentified,Unknown,Vakataka?,Unrecorded,No,NA,No,NA,NA,Muslim mosque and graveyard,Brick bats,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MND08,Mandhal ,Temple,"Brick structure (11.5 x 10.0 m), oriented N-S",Unidentified,Unknown,Vakataka,Associated Archaeology,Unknown,NA,No,NA,NA,Brick structural remains,Red and black slipped wares; Sprinklers in red slipped ware.,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MNP02,Manapur,Temple,Stone built temple and temple platform. Exhibiting Maratha influence in design and deocration,Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MNP03,Manapur,Temple,"Stone built temple, Possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MNS01,Mansar,Monastery,"Massive burnt-brick structural complex in mud-masonry with ratha projections, tentatively showing three phases of constructional activities.",Buddhist,Unknown,AD300-650,Associated Archaeology,Yes,"Few large-sized standing clay images of divinities and dvarapalas; Uma-Mahesvara, Lajjagauri and a plaque depicting padapitha. Clay figurines-clay figurines including faces of divinities and demons, tortoise and moulded human skull.",Unknown,NA,NA,"Phase I-moulded adhishthana, couple of sopanas, pradakshinapatha and an entrance to the complex; Phase II- adisthan was enlarged without disturbing ground plan and was bedecked with offsets (devakoshthaka) and pilaster mouldings; Phase III-sopanas leading to the floor of adhishthana were found closed by raising regular walls across them and ultimately filled with brick-bats","Excavation reports note the presence of: a silver portrait coin and a couple of coin-moulds, attributed to the Kshatrapas; coin of vakataka and indo- sassanian; nails, fish plates, chains, spatula, needles, handles, clamps, hoes, axes, rods, angles, points, chisel, hook and ferrule. Recent analysis of the pottery visible on the surface and in sections at the site has dated the ceramic remains to between the early historic and early medieval periods, suggesting that activities at the site began before the construction of the monument.","Monastery, Buddhist",None,,,,,,,,,,,,,,,,
MNS04,Mansar,Temple,Shaiva temple; the foot of this staircase had a brick-built semicircular Chandrasila; Shiva linga; Pranala,Brahmanical (Shaivite),Unknown,Vakataka,Epigraphic Evidence,Yes,Red sandstone sculptured pieces mostly belonging to Saiva cult,Yes,Pravaresvarasya,Box headed brahmi inscription found on baked clay sealings ,Two square hawan kundas ,"Burnt wooden yupa; sprinklers and a jar having eleven holes at the base, mostly of fine red-slipped ware; copper and iron objects (nails, dowels and chisels), earthen lamps, etc.","Single temple, Brahmanical (Shaivite)",Possibly the temple mentioned in the Pandurna copper plate of Pravarsena II.,,,,,,,,,,,,,,,,
MNS10,Hidimba Tedki,Temple,"Debris of brick temple, with excavations yielding Shiva image",Brahmanical (Shaivite),Unknown,Early 5th century AD,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MNS11,Mansar: MNS I,Temple,"Small brick linga temple, excavated by Nagpur University (MNS I)",Brahmanical (Shaivite),Shiva,Vakataka,Stylistic,Yes,Shivalinga,No,NA,NA,MNS,None,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MNS12,Mansar,Temple,"Remains of brick structures, interpreted as temples given proximity to other temple structures. Not fully excavted, and poorly preserved.",Unidentified,Unknown,Vakataka,Architectural style,No,NA,No,NA,NA,MNS,None,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MNS19,Mansar: MNS V,Temple,Small brick stellate-plan linga temple. Extensively reconstructed,Brahmanical (Shaivite),Shiva,Vakataka,Stylistic,Yes,Shivalinga,No,NA,NA,MNS,None,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MNS20,Mansar: MNS VI,Temple,"Polygonal brick linga temple, reported to be a second stellate-plan temple",Brahmanical (Shaivite),Shiva,Vakataka,Stylistic,Yes,Shivalinga,No,NA,NA,MNS,None,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MRD01,Maroda (Maroti),Temple,None,Brahmanical (Unknown sect),Unknown,12th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MRN01,Maran,Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
MSA01,Mursa,Temple,"Built over a high jagati; consisted of garbha-griha, antarala and mandapa on plan",Brahmanical (Shaivite),Shiva,12th century AD,Architectural style,Yes,"Torso of Ganesa and fragment of an elephant, both of red sandstone",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
MSD03,Masod (Ramgarh),Cave,"Cave complex comprising four caves. The largest (main) cave is domical in shape from inside with 17.50m length x 4.30 m width and 4 m height (recorded in IAR 1994-95: 58 as 16.76x3.96x2.43m). Lots of modern graffiti is seen inscribed on the wall of this cave. The face (entrance which was quite narrow originally) of the cave faces due east towards other hill which is located hardly one hundred meters east of this cave. The cave does not have any carvings or sculpture; however a narrow passage (about 15-20 feet deep) is located inside this cave. The cave mouth faces East, and is illuminated by the morning sun. The other three caves are shelters, measuring 1.21mx3.04m (IAR 1994-95: 58). It is unclear whether this is the same group of caves recorded four years later (IAR 1998-99:118), where a group of three caves with differing dimensions are reported in the Ramgarh Hills. They have been classed as different sites for the purposes of this census.",Buddhist,N/A,1st century AD,Architectural style,No,NA,No,NA,NA,Hanuman and shiv temples and memorial stones.,Unknown,"Single cave, Buddhist",None,,,,,,,,,,,,,,,,
MSL01,Masal,Temple,"Temple remains can be seen infront of the temple belonging to a goddess. This remains includes stone pillars, etc. Also in the east direction of the village on the bank of the lake one can notice Dwarshaka, images of Nagas. The image of Uma Maheshwar can be seen near the Maroti Temple.",Unidentified,Unknown,Unknown,NA,Yes,Sculpture of Uma-Maheshwar,Unknown,NA,NA,3 Jain sculpture were found during digging (MSL01.ii),Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
MTD01,Mana Tekdi,Cave,4 caves; lotus design; bench,Buddhist,N/A,5th century AD,Architectural style,No,NA,No,NA,NA,None,None,"Multiple cave complex, Buddhist",None,,,,,,,,,,,,,,,,
MWD03,Musewadi,Temple,South facing Hanuman temple. Possibly dating to the late medieval period,Brahmanical (Shaivite),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
NDR02,Nandori,Temple,Remains of Hemadpanthi style,Unidentified,Unknown,10th-11th century AD,Architectural style,Yes,"13 Sculpture lying between the Gram-Sevaka office and the entrance to a Maruti temple. They are (1) Umamahesvara (45 x 35 cm); (2) four-handed Vishnu standing (40 x 35 cm); (3) Ganesa seated in lalitasana, trunk and hands mutilated (48 x 35 cm); (4) four-handed Ganesa, seated in lalitasana, trunk turned to left (80 x 48 cm); (5) sati stone in low relief showing right arm raised up in L-shape and symbols like the sun and the"" moon in the upper panel (110 x 35 cm); (6) four-handed image of Varahavatara Vishnu (70 x 80 cm); (7) four-armed, standing Vishnu (85 x 50 cm); (8) four-armed, standing Chamunda with ferocious look, scorpion seen carved in the sunken abdomen (50 x 45 cm); (9) two nayikas standing
(48 x 35 cm); (10) Brahma seated cross-legged (45x 30 cm); (11) Uma-mahesvara (50x 35 cm); (12) Uma-mahesvara, Uma's head mutilated (45x25 cm) and (13) unidentifiable lower portion of a dancing figure (30x40 cm). ",No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
NDW01,Nivdharwa,Cave,Unknown,Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
NER02,Ner,Temple,No description,Unidentified,Unknown,Yadava,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
NGD18,Chatri,Shrine,"Large stone built chattri, exhibiting Maratha period influences in design and decoration ",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single shrine, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
NGD19,Chatri,Shrine,"Large stone built chattri, possibly connected to adjacent water tank. Exhibiting Maratha period influences in design and decoration ",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single shrine, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
NGD25,Nagardhan temples,Temple,"Two small temples, exhibiting Maratha period influences in design and decoration ",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Multiple temple complex, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
NGD30,Chatri,Shrine,"Stone built chattri, exhibiting Maratha period influences in design and decoration ",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single shrine, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
NGR01,Nagara,Temple,Remains of burnt brick temple structure (28.75 x 26.30 m) with an extant height of 3 m; the projections rest on railing patterns and those in recesses have pilasters in their frame; a brick-built cistern with traces of a stone-cut channel spilling water to the cistern; A human-faced makara-pranala ,Unidentified,Unknown,Vakataka,Epigraphic Evidence,No,NA,Yes,"""Narayano""","""This seal is oval in shape and the characters of the inscription is similar to Gupta-Vakataka."" (Naranje 2013: 181)","Vertical facing of the basement is embellished with ornamental mouldings, recessed and projected niches","Pottery (sprinklers, red ware and kaolin vessels, red ware lamps and other wares of everyday use)","Single temple, Undetermined",The excavation reveals that the structure of the Nagara as similarities with the temple of Bhumra.,,,,,,,,,,,,,,,,
NGR04,Nagara (Nageshwar Temple),Temple,"This temple is situated on the bank of a lake and on plan has Garbhagriha, Antaral and Sabhamandapa. Garbhagriha measures 2.50 x 2.50 m and houses shivalinga with hood of snake on top of it. The doorframe is oranated with sculptures and other decorative motiffs. Sabhamandala measures 6 m x 6 m. In the campus of the temple there is a small shrine in hemadpanthi style standing on 4 pillars.",Brahmanical (Shaivite),Nageshewar,Early Medieval,Architectural style,Yes,"Shiva linga topped by hood of snaka, images of Vaman, Hanuman, etc.",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
NGV04,Nandgav (Ghosri),Temple,Unknown,Unidentified,Unknown,Early Medieval,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
NLW02,Mahadev Temple,Temple,None,Brahmanical (Unknown sect),Unknown,13th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
NND01,Nandre,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
NPR06,Nandpuri temple mound,Temple,"Mound with bricks, and stone architectural and sculptural fragments partially exposed on the surface. Interpreted as the remains of a temple",Unidentified,Unknown,Vakataka to Early Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,Pottery and bricks,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
NRI02,Mahadev Temple,Temple,None,Brahmanical (Unknown sect),Unknown,12th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
NRT01,Nirat,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PAT01,Pathardi,Temple ,Temple is in Hemadpanti style. ,Unidentified,Unknown,Early Medieval,Architectural style,Unknown,NA,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
PDV01,Pandhardevi,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PFL01,Pofali,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PHN04,,Temple,No description,Unidentified,Unknown,Yadava,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
PJN01,Panjurani,Temple ,Reported to be Sati Temple by Henry Cousens,Unidentified,Sati,12th century AD,Unrecorded,No,NA,No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Devi)",None,,,,,,,,,,,,,,,,
PJR02,Pinjar,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PLB01,Mahadev Temple,Temple,None,Brahmanical (Unknown sect),Unknown,13th-14th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PLR02,Pullar,Cave,Caves in ruin coindition; 2 inscriptions on the wall of the cave.,Buddhist,N/A,2nd century BC,Epigraphic Evidence,Unknown,NA,Yes,"Two inscriptions. One of them, in two lines, reads: (1) Vasava-dalaka-putasa (2) A[cha or va]lasa matikamam. The other inscription reads: Okiyasa.",None,Unknown,Unknown,"Multiple cave complex, Buddhist",None,,,,,,,,,,,,,,,,
PNG01,Pangra,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PNI07,Pauni (Jagannat Tekdi),Stupa,"Stupa remains (diameter of original stupa-38.20 mtr)- railings and other stupa remains. Pradikshinapatha,pillars, Gateways, chhtravali",Buddhist,None,"Pre Mauryan, Mauryan, Shunga, Satavahana, Kshtrapa",Associated Archaeology,Yes,"Naga figures, human figures, dharmachakra motiffs, caitya arches, yaksha figures, fluted capital, animal floral and other decorative motiffs",Yes,Unknown,Number of inscriptions can be divided into 1) insciption on coping stones 2) on octagonal pillars of the outer railing 3) Horizontal bars or suchis 4)legend or motiff labels 5) Fragmentary inscriptions of indeterminate stone fragments.,Unknown,"Pottery- NBPW, black and red ware, red polished ware and red slipped ware; Coins- silver punch marked coins, cast copper coin, satavahana coin, kshatrap coin; inscriptions; copper iron, glass terracota and stone objects","Stupa, Buddhist",None,,,,,,,,,,,,,,,,
PNI08,Pauni (Chandakapur) ,Stupa,Stupa remains,Buddhist,None,"Satavahana, Shunga, Western kshatrapa (1st century BC-2nd century AD)",Associated Archaeology,No,NA,No,NA,NA,"Circular mound, ","Coins- copper punch marked coin, uniscribed cast copper coins,die-struck potin coins (Satavahana); Pottery-Red ware (slipped and unslipped), Gritty micaceous red ware, mica slipped red ware, black and red ware, black burnished ware, Painted black on red ware, NBPW, red polished ware, Kaolin ware; bone fragments; Brickbats.","Stupa, Buddhist",None,,,,,,,,,,,,,,,,
PPD01,Pimpardol,Cave,Unknown,Unidentified,Unknown,Early Historic,Unrecorded,Unknown,NA,Yes,Unknown,None,Unknown,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
PPK02,Pimpalkhuta ,Temple,Temple remains,Unidentified,Unknown,13th-14th century AD,Architectural style,Yes,Loose sculptures,No,NA,NA,None,None,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
PPR02,Padmapur (Jain Temple),Temple,"Temple remains which includes Sculpture of thirthankar, three rows of pillars. Pillars are 1.55 m in height, 60 cm in length and 47 cm in width. ",Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
PPR03,Padmapur,Cave,"The remains of the cave can be seen  on the hillock of Bhavbhuthuti college. The cave has single cell of which eastside wall in 2.10 m in length and 1.24 m in height. On top of this wall stone are arranged, while other three walls are properly excavated. The wall on the west side is 1.80 m in length and 96 cm in height; north side walll is 1.86 m in length and 1.17 m in height while wall on south is 1.52 m in length and 1.30 m in height.",Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,2 Natural caves and sculptures belonging to Jainism and Buddhism and even Brakmanical.,Unknown,"Multiple cave complex, Undetermined",Included in a multiple cave complex?,,,,,,,,,,,,,,,,
PPR04,Padmapur,Temple,"""The remains of the temple can be observed in the east side of the village near the lake in the property of Mr. Pattan. The foundation of the temple is 7.62 m east-west and 2.36 m north-south. Also Ganeshpattika 2.45 m in length, 45 cm in width and 40 cm in thickness can be seen. Beside this there are bricks of 30 x 22 x 7 cm in size. It seems the Brick remains and stone remains are belonging to the independent building activity.""",Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Temple remains of other temples and caves,Unknown,"Single temple, Undetermined",Included in a multiple temple and cave complex?,,,,,,,,,,,,,,,,
PPR05,Padmapur,Temple,Sculptures and other remains can be seen on Nathbaba Tekdi.,Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
PPT01,Pimpalkhunta,Temple,Unknown,Unidentified,Mudgaleshwar,Yadava,Architectural style,Unknown,NA,No,NA,NA,None,None,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
PRI01,Panori (Panholi),Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PRT01,Pathrot,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PSD04,Pusad,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PSN03,Parshivani,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PTK01,Patkhed,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
PTR01,Patur,Cave,The rock cut cave of Pattur is caved in a basalt hill. Unfortunately the porous nature of the hill made the cave very unstable. It is a Centrally protected monument and is under the jurisdiction of ASI. It is a complex of two caves cave to the right has one verandah and a big hall with a small chamber at the back. Two chambers can be seen on the extreme right near the entrence. The large cave to the left has a small chamber on the side of enterance. This cave has a also a large hall with four pillars. Behind this hall a small chamber for the image is seen. In between these two large caves a small chamber is located. ,Buddhist,N/A,Satavahana (2nd - 3rd CE),Epigraphic Evidence,Unknown,NA,Yes,Not deciphered,Two inscriptions in Brahmi script,Unknown,Unknown,"Multiple cave complex, Buddhist",None,,,,,,,,,,,,,,,,
RDG01,Ramdigi,Temple,Unknown,Brahmanical (Shaivite),Mahadeo,Vakataka,Associated Archaeology,Unknown,NA,No,NA,NA,Brick structure (0.75 m in width) having a moulded outer facing behind the temple. Brick-paved flooring  within the structure.,"Grooved tiles, large sized bricks (45x22x7 cm), red ware pottery","Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
RDG02,Mahadev Temple,Temple,None,Brahmanical (Unknown sect),Unknown,13th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
RHA01,Roha,Temple,Some architectural elements like pillars and sculpture were found in the campus of Hanuman temple. Also at some distance four stone pillars and shikhar are visible. Naranje find this antiquity of a Hemadpanthi temple.,Unidentified,Unknown,13th Century AD,Architectural style,Yes,Unknown,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
RJD01,Mahadev Temple,Temple,None,Brahmanical (Unknown sect),Unknown,12th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
RJL01,Rajoli,Temple,Temple remains,Unidentified,Unknown,10th-11th century AD,Architectural style,Yes,Unknown,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
RJP01,Rajpur,Temple,Unknown,Brahmanical (Vaishnava),Unknown,11th-12th century AD,Architectural style,Yes,"Loose sculpture of Vishnu, Siva, vyala, etc",No,NA,NA,None,None,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
RJR01,Someshwar Temple,Temple,None,Brahmanical (Unknown sect),Unknown,11th-12th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
RPP02,Repanpalli,Temple,"Two temples, one dedicated to Shiva and the other to Ganesha, which appear to have early medieval foundations ",Brahmanical (Shaivite),Shiva,Early Medieval,Unrecorded,Yes,"Discplaced sculptural remains, some of which date to the Vakataka period",No,NA,NA,,,"Multiple temple complex, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
RTK01,Kevala Narasimha Mandir,Temple,This temple is constructed from red sandstone and houses a large Narasimha sculpture. Simple features of Architecture with Garbhagruha and Mandapa. Sculptures,Brahmanical (Vaishnava),"Kevalnarsimha, Trivikrama, Varaha, Rudranarsimha, Bhogram, Guptaram ","Vakataka, Early Medieval",Architectural style,Yes,Seated Narasimha figure,Yes,(Ja) Yathi sajlambudodaro 5 mithiche samaye 7 vemashosamayovithang-bhaylomukhya vahana- jakyas…..,On right wall of mandap of kevalnarsimha 450 AD (Chitale 1997 :164); inscribed on 3 x 1 ft stone; in 15 words; nail headed Brahmi. ,Unknown,Unknown,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
