SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,Notes,,,,,,,,,,
RTK63,Ramtek Outskirts,Sculpture (single),"Fragmentary stone sculpture, badly eroded. Preserved on modern shrine platform",Vakataka,Stylistic,No,,,,,,,,,,,
RTL01,Ramtola,Sculpture (single),Stone images of Mother goddess in Low relief ,Unknown,NA,No,Excavated by the Contour Bunding Branch of the State Agriculture Department.,,,,,,,,,,
RTP02,Ritpur (Riddhpur),Inscription (copperplate),This copper plate records the land grant by Prabhavati Gupta to a brahmin. It was inscribed by Prabhusih.,Vakataka ( 19th year of Pravarasena II reign),Epigraphic evidence,No,None,,,,,,,,,,
RTP03,Ritpur (Riddhpur),Inscription (copperplate),Inscription is inscribed in Sankrit language and Box headed script. It records the grant of village Kadambgiri to a brahmin named Matradcharya and his 8 sons by Nala king Bhavatvarman. It is inscribed by Chull.,5th-6th Century AD,Epigraphic evidence,No,None,,,,,,,,,,
SGD01,Sanglud,Inscription (copperplate),"Garud icon and ""Shrijuddhasur"" is inscribed on the seal-ring; South Indian Nagari script",Shaka era 615 (693-94 AD),Epigraphic evidence,No,Rashtrakutta geneaology from Durgraj to Nannraj,,,,,,,,,,
SKD02,Shrikhanda,Terracotta figurine,Terracotta head with mark on the forehead,Vakataka,Iconography,No,The morphological features belongs to the Vakataka Period.,,,,,,,,,,
SNG02,Shengaon,Sculpture (single),"Sculptures of Vishnu, Brahma, Shiv and Uma- Maheshwar",Unknown,NA,No,None,,,,,,,,,,
SNR03,Savner,Sculpture (single),"Fragmentary stone sculpture, depicting Narasimha",Vakataka,Stylistic,No,"Sculpture found and recorded in association with settlement site (SNR01)
",,,,,,,,,,
SRR01,Shirpur,Sculpture (single),Sculpture of Kiratarjun shiv; 2 ft 8 inch in ht; four handed- bow and Damru in  left hands and Khadag and trishul (trident) in right hand,Medieval (600-700 B.P) ?,NA,No,remains of Yadava Sculpture,,,,,,,,,,
SRS01,Sirso,Inscription (copperplate),"3 plates of 0.4 inch thick, tied by ring (3 inch) having seal of Garud Icon. Each copper plate is 9-10 inch in length and 7 inch in width.",Rastrakuta - Shaka era 725 (AD 803),Epigraphic evidence,No,1) Prominent information regarding Rashtrakuta; 2) Jharika Copper plate,,,,,,,,,,
SSV01,Sisve,Inscription (copperplate),This copper plate inscription (Sanskrit)  is issued by Rashtrakutta king Govind III. It records the grant of village Sisve (in Manak) and some land from Morgan to a  Risiyappbhat (resident of Dharashiv) by the king. It was inscribed by Arunaditya (son of Vatsaraja),"21 August, 807 AD",Epigraphic evidence,No,None,,,,,,,,,,
STD01,Sitaburdi,Inscription (stone),This stone inscription belongs to the reign of Kalyani Chalukyan king Tribhuvanmalladev Vikramaditya VI and is corrupted sanskrit language and Nagari characters. It mentions the donation of Vasudev (son of Dandanayak Padmanabh Bhatt and resident of Latlaur).,8th April 1087 AD ,Epigraphic evidence,No,None,,,,,,,,,,
TDS03,Talegaon Dashasar,Sculpture (single),"Sculptures of Yadava period, including icons of Vishnu,
Garudavahana Vishnu, Uma-Maheshawara, Narsimha, Indra, Mahisasuramardini, Ganesa and
Varaha with devotees.",Yadava,NA,No,None,,,,,,,,,,
TGN02,Teegaon,Inscription (copperplate),"The Tigaon copper plates of Pravarasena II were discovered in this village in 1942 when the house of Kadu Patil was demolished to make way for the Itarsi-Nagpur Central Railway line. Mirashi, (p.63) refers to the plates as the Pandhurna plates even though they were found in the village of Tigaon.

There are five copper plates which record the donation of 2000 nivartanas of land by royal measure in the village of Dhuvavataka (Dhruvavataka) to a number of Br?hma?as. An additional 26 nivartanas in two other villages is recorded in the third plate as being specifically donated to the Brahmana Somarya. Both Mirashi, (p. 64) and Shastri (p. 34-35) argue that this third plate is actually a forgery, inserted into the charter at a later date to benefit Somarya.

The first part of the donation, of the 2000 nivartanas was issued in exchange for the earlier donation by Prthivisena I of the village of Vijayavalli-vataka. The charter was issued in the 29th year of Pravarasena II reign and was issued from the temple of Pravaresvara. (Shastri, pp.32-33).",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
TLG03,Talegaon,Sculpture (single),"Sculptures of Siva, Vishnu and Parvati ",Early Medieval,Iconography,No,None,,,,,,,,,,
TRD02,Tirodi,Inscription (copperplate),"The four Tirodi copper plates were discovered in manganese mines at Tirodi in the 1930?s and were first published by Mirashi in 1933-34 (Epigraphica Indica XXII).

The copper plates date to year 23 of Pravarasena II and record the donation to Varunarya, a resident of Chandrapura, of the village Kosambakhanda in order to gain religious merit for both Pravarasena II and his mother Prabhavati Gupta. According to Mirashi the charter was written following the direct order of Pravarasena II. (Mirashi, pp. 48 ? 52)

Wikipedia page (http://en.wikipedia.org/wiki/Tirodi_copper_plates)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
TTR02,Thutra,Sculpture (multiple),"Sculptures of Parvati, Bhairavi, Bhairav and Devotee",13th-14 th century AD,Iconography,No,None,,,,,,,,,,
VDB01,Vidarbha,Seal impression,"Baked clay sealing of diameter 3.5 bearing two lined legend in box headed Brahmi characters. The legend read as ""[Ma] hasenapatish=shaurika=putra; sya mahadandanayaka-Shri-Sena [sya?]""",Vakataka,Epigraphic evidence,No,In the collection of Dr. Major M.K Gupta of Burhanpur (M.P),,,,,,,,,,
VJS02,Vijasan temple,Sculpture (multiple),Sculptural fragments that appear to be depictions of the Buddha and related figures,Satavahana,Iconography,No,Presumably from the nearby site of Vijasan cave (VJS01),,,,,,,,,,
WGN02,Wadgaon,Inscription (copperplate),Inscription is issued by the Vakataka King Pravarasena II and is in Sanskrit language and box headed script of southern style. It records the donation of land from Velsuk village (in Supratishtisth) to a brahmin by the name Rudray.,Vakataka (25 year of Pravarasena II),Epigraphic evidence,No,None,,,,,,,,,,
WRG02,Wairagad,Sculpture (single),"Chitale records a sculpture of Parvathi in Bhillin attire; 4 ft 7 inch in ht; four handed- bow and damru in left hands, blessing gesture and trident in right hand; tribhanga position",Unknown,NA,No,Iconographic style of the Pavarthi sculpture is similar to the sculptures of the Markhandas. An ancient temple of Ekori is in vicinity.,,,,,,,,,,
WSM06,Washim,Inscription (copperplate),"Mirashi refers to these copper plates as the 'Basim' copper plates (p. 93-100) whilst Shastri refers to them as the 'Washim' copper plates (Shastri, p. 37-40).

The four copper plates were discovered by Pandit Vasudev Sastri Dhanagare (Mirashi p. 93) in the town of Washim, which stands on the site of the ancient town of Vatsagulma. The plates are from the Vatsagulma branch of the Vakatakas and were produced for Vindhyasakti II in the 37th year of his reign.

The charter records the donation of the village Akasapadda to fourteen Bramanas by Vindhyasakti II. The charter records the names of the Br?ma?as and the share of the village which they were given. (Shastri,p. 38). According to Shastri the charter is important in that it proves that Pravarasena I, who ruled as part of the undivided family, had at least four sons who all became kings, which until the discovery of this charter had not been satisfactorily proven. (Shastri, p. 39)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
YVM02,Yavatmal,Inscription (copperplate),"Two copper plates of this charter were rescued from a coppersmith's melting pot in Yavatmal by R. M. Saklecha. Saklecha acquired them for Prashant P. Kulkarni.

According to Shastri, when compared to other Vakataka inscriptions it is possible to argue that the plates recovered represent the second and last plates of a charter. (Shastri, p. 95) The charter is dated to the 26th year of Pravarasena II reign and records the renewal of a donation of an area of land and two house sites in the village of Latakapalli to Indrarya and Svamideva. That this charter records a renewal of a previously granted donation makes the Yavatmal copper plates very unusual in the corpus of known Vakataka inscriptions. The inscription was written by Bappadeva, who is also mentioned in the Siwani and Wadgaon Vakataka inscriptions. (Shastri, pp. 95-96)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
