SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,ContextNotes,Number,Metal,Weight (g),Diameter (cm),ObverseDescription,ReverseDescription,Issuer,TypeNumber,ImageID,Note,Location
PSD03,Pusad,Coin Hoard,Inscribed Coins of Satavahanas and Augustus denari,Early Historic,"Name of the ruler in the legend (see ""Obverse Description"" column)",No,None,600,Copper and lead,Coin no.1) 11.56 g; Coin no.2) 17.22 g; Coin no.3) 6.61 g; Coin no.4) 8.01 g; Coin no.5) 4.27 g; Coin no.6) 5.07 g; Coin no.7) 7.75 g; Coin no.8) 7.58 g; Coin no.9) 10.14 g; Coin no.10) 10.71 g; Coin no.11) 8.26 g; Coin no.12) 2.06 g; Coin no.13) 2.73 g; Coin no.14) 13.41 g; Coin no.15) 9.50 g; Coin no.16) 7.91 g; Coin no.17) 4.33 g; Coin no.18) 3.51 g,Coin no.1) 24 mm; Coin no.2) 24 x 24 mm; Coin no.3) 10 x 22 mm; Coin no.4) 22 x 22 mm; Coin no.5) 19 x 23 mm; Coin no.6) 18 x 20 mm; Coin no.7) 20 x 24 mm; Coin no.8) 19 x 22 mm; Coin no.9) 25 mm; Coin no.10) 22 x 24 mm; Coin no.11) 25 x 27 mm; Coin no.12) 12 x 12 mm; Coin no.13) 16 x 17 mm; Coin no.14) 20 x 22 mm; Coin no.15) 22 x 22 mm; Coin no.16) 19 x 21 mm; Coin no.17) 18 x 19 mm; Coin no.18) 15 x 19 mm,"Coin no.1) ""Standing bull to right with bold Ashokan Brahmi legend above: ""Rano Sebakasa"". A triangle headed standard near the tail of the bull and a simplified swastik above the hump is seen prominently; river to lower right, with fish and tortoise, orginating from a six- arched hill and going around the bull. The hill is topped by a simplified swastika."" Coin no.2) ""Standing bull to right with bold Ashokan Brahmi legend above: ""Rano Vigasa"". A triangle headed standard near the tail of the bull and a simplified swastika above the hump is seen prominently. A six arched hill stands to the right topped by a simplified swastika. The river originating from the hill is worn out."" Coin no.3) ""Bull to right standing on symbolised river showing fish. legend in Brahmi characters beginning at 8 oclock reads ""Patalatori..."" Coin no. 4) ""Abhisheka lakshmi seated in padmasana on lotus holding the stems of two lotus flowers; two elephants standing on smaller lotus flowers bathing lakshmi with water; river to right, with fish and tortoise, originating from a three- arched hill; Brahmi legend on top: ""Rano Kutapadasa""; the whole enclosed in dotted border."" Coin no. 5) ""Elephant to right with trunk upraised. A simplified swastika is seen on the back of the elephant. Legend on top: ""Sa(ga)mana ma(hagamikasa)"". Coin no. 6) ""Elephant to right with trunk upraised. A trident is seen in the front of the elephant. legend on top: ""Mahagamikasa zatamaya."" Coin no. 7) ""Standing shiva on lotus, holding a staff in right hand and a Kamandalu in the left. A tree to right with five leaves within a railing decorated with nandipada. A shrivatsa tops the sapling on the left. Brahmi legend to left ""Rano Sur(yamitasa)"". Coin no. 8) ""Standing Shiva on lotus, holding a staff in right hand and a kamandalu in the left. A tree to right with five leaves within a railing decorated with nandipada. Brahmi legend to left ""(Rano) Subenasa"". Coin no. 9) ""Elephant to right with trunk upraised. A triangle headed standard in railing flanked by two triratna symbols is seen on the back of the elephant. Legend on top: ""Rano Siri Sadavahana(sa)"". Traces of leaves of a tree are seen in the right lower corner."" Coin no.10) ""Counter- struck on a coin bearing Ujjain symbol and traces of legend consisting of the letter ""sa"" in Brahmi at 11 oclock. Bull to left standing on symbolised river showing aquatic animals. To the left standing on symbolised river showing aquatic animals. To the left stand a little taurine and a tree with seven leaves in a railing rested on three arched hill. legend in Brahmi characters beginning at 10 oclock reads ""Patala...""Coin no.11) ""Counter-struck on a coin bearing traces of legend consisting of the Akshara ""nyo"" in Brahmi at 2 oclock. Bull to left with legend in Brahmi characters beginning at 11 oclock reading ""Talotoritasa..."" Coin no.12) ""Bull to left with other details worn out."" Coin no.13) ""Elephant to right with trunk upraised. Brahmi legend on top: ""(Rano Ku) tapadasa"". Coin no.14) ""Standing bull to right with a small swastika like cross above. Brahmi legend on top: ""(Rano Kuta)padasa."" Coin no.15) ""Standing elephant to right with Brahmi legend on back: ""Rano Kukutakha(dasa)."" Coin no.16) ""Standing bull to right with brahmi legend on back: ""(Ra)no kukutakha(dasa)."" A triangle headed standard near the tail of the bull and a simplified swastika above the hump is seen prominently."" Coin no.17) ""Standing bull to right with brahmi legend on back: ""Rano Kukuta(khada)sa"" with ""sa"" inscribed sideways. A triangle headed standard near the tail of the bull and a swastika above the hump is seen prominently."" Coin no.18) ""As coin two above but much worn except for clear Brahmi legend: ""Kukutakhadasa"" with the last letter sa inscribed sideways."" (Kulkarni 2010-11 (34-35): 11-40)","Coin no.1) ""Two bold symbols, one resembling a shrivatsa upon a circle and the other showing triratna capped by a little taurine. Two plus mark like simplified swastika on left top and bottom corners."" Coin no.2) ""two bold symbols, one resembling ashrivatsa upon a circle and the other showing triratna capped by a little taurine. Two plus mark like simplified swastika seen in the field."" Coin no.3) ""A radiant sun symbol in the centre with fifteen rays surrounded by Shrivatsa and an indistinct symbol."" Coin no.4) ""Two bold symbols, one showing triratna and the other resembling a circle within a circle topped by indradhvaja or triangle headed standard; the whole enclosed in dotted border."" Coin no.5) ""Ujjain symbol of double orbs with four crosses in corner out of which two are visible on the flan."" Coin no.6) ""An ornate symbol made of four taurines sharing the common circular base with a pellet."" Coin no.7) ""Standing bull to right with an eight spoke wheel on the back and  a kukkuta dvaja or cock headed standard in railing, on the right."" Coin no.8) ""Standing bull to right with an eight spoke wheel on the back and an indistinct Kukkuta dvaja or cock headed standard in railing, on the right."" Coin no.9) ""Ujjaini symbol designed with double orbs around a pellet. The four corners are decorated with intricately designed triratna symbols."" Coin no.10) ""Counter- struck on a coin showing very indistinct traces of under type. A radiant sun symbol in the centre with sixteen rays surrounded by swastika, indradvaja, shrivatsa and swastika, indradvaja, Srivatsa in clockwise fashion from 12 oclock."" Coin no.11) ""Counter-struck on a coin showing very indistinct traces. A radiant sun symbol in the centre with fifteen rays surrounded by Indradvaja, Swastika, Shrivatsa and Svastika."" Coin no.12) ""A radiant sun symbol in the centre with sixteen or eighteen rays."" Coin no.13) ""Worn out but faint signs of orbs seen at the bottom."" Coin no.14) ""Two bold symbols, one showing triratna and the other resembling a circle within a circle topped by Shrivatsa symbol. The whole enclosed in double border border of lines."" Coin no.15) ""Two bold symbols, one showing triratna and the other resembling a tree in railing topped by indradhvaja or triangle headed standard. The whole enclosed in beaded border. There are traces of double striking on both the sides."" Coin no.16) ""Two bold symbols, one showing triratna and the other resembling a Shrivatsa upon a circle. The whole enclosed in beaded border."" Coin no.17) ""Two bold symbols, one showing Triratna and the other resembling a Shrivatsa upon a circle. The whole enclosed in beaded border."" Coin no.18) ""Two bold symbols, one showing triratna and the other unclear. The whole enclosed in beaded border."" (Kulkarni 2010-11 (34-35): 11-40)",1) Sebaka; 2) Vigra; 3) Patalatarita; 4) Kutapada; 5) Mahagramika; 6) Mahagamika Zatamaya; 7) Suryamitra; 8) Subena; 9) Sadavahana,Unknown,"Fig. 5 - 25 (ND, 34-35)",The ruler by the name Mahagamika Zatamaya was not known before.,In the collection of Prashant Kulkarni.
PSD05,Pusad,Coin Hoard,"Square and rectangular shapes. Two types of Sebaka coins- ""1) bull and six arched hill with Nandipada with Naga symbols;  2) Bull and tree in railing with Nandipada with Naga Symbols"". ( Thakur 2006 (no 8): 2). 2 denari of Augustus, 1)  ""heavily worn with two holes"" ....2)  ""Struck by the Moneyer C. Sulpicius Platorinus heavily worn out, with two holes and traces of gold plating."" (Meshram 2008-09: 81)",Early Historic,"Ruler name in the Legend (see ""Obverse Description"" column).",No,None,120,Copper; Silver,Coin no. 1) 7 gm; Coin no. 2) 6.75 gm; Coin no. 3) 7.55 gm (Thakur 2006 (8); 2) Coin no. 4) 1.96 gm; Coin no. 5) 3.25 gm (Meshram 2008-09: 81; Kulkarni 2010-11 (34-35): 38-40),Coin no. 1) 2.3 x 2.7 cms; Coin no. 2) 2.2 cms; Coin no. 3) 2.2 cms (Thakur 2006 (8): 2); Coin no. 4) 14 x 15 mm; Coin no. 5) 18 mm (Meshram 2008-09: 81; Kulkarni 2010-11 (34-35): 38-40),"Coin no. 1) Bull facing right with six- arched hill and tree in railing in front of bull. Two small Swastik. Legend is written above, ""Rajno Sebaka"". Coin no. 2) and 3) Same as above. (Thakur 2006 (8): 2); Coin no. 4) Laureate head of Augustus to right, traces of legend CAESAR AVGVSTVS DIVI PATER PATRIAE. Coin no. 5) Bare head of Augustus to right. Legend [CAESAR AVGVSTVS]. (Meshram 2008-09: 81; Kulkarni 2010-11 (34-35): 38-40)","Coin no. 1) Nandipad with Naga symbol. Coin no. 2) Nandipad with Naga symbol and over struck Ujjain symbol. Coin no. 3) Same as 1 (Thakur 2006 (8): 2); Coin no. 4)  Caius and Lucius standing with two shields, traces of legend, AVGVSTI COS DESIC PRINC IVVENT, below C.L.CAESARES. Coin no. 5) Bare head of Agrippa to right. [MAGRIPPAPLATORINVS III VIR] (Meshram 2008-09: 81; Kulkarni 2010-11 (34-35): 38-40)","Sebaka, Surya Mitra, Satkarni and Mahagramikas; Augustus",Unknown,"Pp. 2 (CCS No 8); Pl. IV-V (JNSI, LXIX); Pp 81 (ND, 32-33)",None,Unknown
RHK01,Rohinkheda,Coin Hoard,"""The coins of Gangeyadeva and those of Mahipala were of usual types but the coins of Jagadeva appear to be south Indian from their fabric and type. The numismatic secretary to the Asiatic Soc. of Bengal who examined the hoard found himself unable to say with certainty to what dynasty the coins of Jagadeva belonged. He however suggested one Jagadeva mentioned in Elliot "" coins of Southern India"" page 82, who flourished in the 12th century. A.D. V.P. Rode is of the opinion that the coins are the issues of Jaggaddeva Paramara who was placed in charge of Vidarbha by his overlord Vikramaditya VI of Kalyani."" (Jain 1957: 20)",Early Medieval (Parmara?),On unspecified Numismatics ground,No,None,25,Gold,Unknown,Unknown,Unknown,Unknown,"Gangeyadeva, Mahipala and Jagadeva.",Unknown,"Pl. II 7 (JNSI XIX, I)",None,3 deposited in Nagpur Museum and 1 in Assam Cabinet.
RLG01,Ralegaon,Coin Parcel,Unknown,Yadava Period,On unspecified Numismatics ground,No,None,3,Gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,Deposited in Nagpur musuem.
RSO01,Risod,Coin Hoard,Hoard of nearly 5000 coins (found in 2006),Satavahana,Ruler name in the legend and Ujjain symbol with four orbs,No,None,5000,Potin,0.55 to 3.55 g,Unknown,"Elephant with upraised trunk facing right with legend in Brahmi characters (Legends on some of the coins are: ""Ranyo maha Satakarn(sa)""; ""Rajno siri satakarni(sa)""; ""Rajno Pulumavi(sa)""; ""Rajno siri Yajna satakarni(sa).""; ""Rajno siri Kubha satakarni(sa)""; ""Rajno siri khada satakarni(sa)""; ""Rajno siva siri pulumavi(sa)""; ""Rajno Vijaya satakarni(sa)"". (Gupta et al 2008-09: 29-32; Kulkarni 2010- 11: 40-48)",Ujjain symbol with a dot in each orb (Gupta et al 2008-09: 29-32; Kulkarni 2010- 11: 40-48).,"Siri Satakarni, Yajna Satakarni, Siri Pulumavi, Skanda Satakarni, Kumbha Satakarni, Shivasiri Pulumavi, Maha Satakarni, Vijaya Satakarni",Unknown,"Pp. 31-32 (ND, 32-33); Fig 26-50 (ND, 34-35)",Coins of Maha Satakarni (2 in number) is the important discovery of the hoard.,In the collection of Rajesh Somkumar of Nagpur and Mr. Taylor of Akot.
SBT01,Salebhatti,Coin Hoard,Punch marked  coins,Early Historic,Belongs to BMC classes 2 and 6.,No,None,138,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,BMC classes 2 and 6.,None,,45 coins from this hoard is deposited in Nagpur Musuem.
SNR04,Savner,Associated coin(s),"""Kshatrapa coins…are found at the site"". Coins recorded as having been found during the surface survey (exploration) of the site of Savner (a settlement site recorded as dating to the rule of the Vakatakas)",Kshatrapa,Unrecorded,Yes,"Agricultural field, part of wider settlement site (recorded separately)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,
SPW01,Sampewada,Coin Parcel,"Roman coins; ""one of them is an issue of Commodus and the other a Roman forgery."" (Jain 1957: 23)",Early Historic (1-2 century AD),On unspecified Numismatics ground,No,None,2,Gold,Unknown,Unknown,Unknown,Unknown,Commodus,Unknown,None,,Deposited in Nagpur Musuem
TDL01,Tadali,Coin Parcel,Roman coins,Early Historic (1-2 century AD),On unspecified Numismatics ground,No,None,2,Gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,Unknown
THL01,Tharhala,Coin Hoard,"""Out of 1600 coins, 1525 were recovered; remaining 75 were broken into small pieces. All the coins belongs to Satavahana Kings….. All the coins are round and die struck"" and…."" all belongs to uniform variety"" (Mirashi 1940:84). ""573 coins of Sri Satakarni III"",..... ""174 coins of Pulumavi II"",..... ""35 coins of Sarakarni IV"",..... ""32 coins of Pulumavi III"",..... ""23 of coins Skanda satkarni"",..... ""248 of coins Yajna Satakarni"",..... ""4 of coins Vijaya Satakarni"",..... ""56 coins of Kumbha Satakarni"",..... ""7 coins of Karna Satakarni"",..... ""4 coins of Saka Satakarni"",..... ""4 coins of Sri Pulumavi"",..... ""2 coins are double struck"".....""1 coin(?)"" (Jain 1957: 8-9)",Satavahana,Name of the ruler in the legend on the o0bverse side and depiction of Ujjain symbol on the reverse,No,None,1600,Potin,Unknown,Unknown,The figure of an Elephant with the trunk upraised and the legend running along the edge. (Mirashi 1940: 83-94),"The ujjain symbol, each orb of which contains a pellet. (Mirashi 1940: 83-94)",Srhi Satakarni (III) -(Gautamiputra)- 573 coins; Shri Pulumavi (II)- 174 coins; Shri Satakarni (IV)- 35 coins; Shiva Shri Pulumavi (III)- 32 coins; Shri Skanda Satakarni- 23 coins; Shri Yajna Satakarni- 248 coins; Shri Vijaya Satakarni- 4 coins; Shri Kumbha Satakarna- 56 coins; Shri Karna Satakarni- 7 coins; Shri SakaSatakarni- 4 coins; (Shri) Pulumavi- 4 coins. 365 coins are without legend.,Unknown,"Pl. VIII (JNSI, II)","1) Evidence for the Satavahana rule in Vidarbha region till Pulumavi time (Mirashi 1940: 83-94);  2) The hoard brought to light for the first time three kings, namely, Kumbha Satakarni, Karna Satakarni, Saka Satakarni, who were not known before, from any other source, numismatic or inscriptional. (Jain 1957: 8-9)","Central Musuem Nagpur (Mirashi 1940: 83-94); Out of 1525 coins, 1170 coins were acquired and out of which 1163 coins were distributed in several musuems (Jain 1957: 8-9)"
VDB02,Vidarbha,Uncertain coin,Struck with punching technique,Early Historic,"Name of the ruler in the legend (see ""Obverse Description"" column)",No,None,2,Copper,Coin no.1) 3.69; Coin no.2) 3.70 g,Coin no.1) 12 x 12 mm; Coin no.2) 15 x 11 mm,"Coin no.1 and 2) ""Two rectangular punches punched one above the other. The upper punch consists of a moon shaped hollow geometric representation flanked by two taurines. The lower punch shows legend in Brahmi characters ""Seyaso"". The second coin shows the upper punch struck upside down.""","Coin no.1 and 2) ""Blank"" (Kulkarni 2010-11 (34-35): 9-10)",King Shreyas,Unknown,"Fig. 1 (ND, 34-35)",None,In the collection of Prashant Kulkarni.
VDB03,Vidarbha,Uncertain coin,Coin of Ashvabandhu. Struck by Punching technique ,Early Historic,"Name of the ruler in the legend (see ""Obverse Description"" column)",No,None,1,Copper,Coin no.1) 3.17 g,Coin no.1) 14 x 14 mm,"Coin no.1) Struck with five punches, one in centre and four around. The central punch consists of Brahmi characters ""Asvababha."" It could stand for Ashbabudha or Ashvabandhu. P Kulkarni prefers latter. (Kulkarni 2010-11 (34-35): 9-10)",Coin no.1) Blank,Ashvabandhu,Unknown,"Fig. 4 (ND, 34-35)",None,In the collection of Prashant Kulkarni.
VDB04,Vidarbha,Uncertain coin,Vakataka coins without legend,Vakataka,Depiction of Lazy heart circle topped by knot in beaded circle in the reverse ,No,None,6,Copper,Coin no.1) 620 mg; Coin no.2) 230; Coin no.3) 420; Coin no.4) 300; Coin no.5) 190; Coin no.6) 780,Coin no.1) 9 x 10 mm; Coin no.2) 9 x 9 mm; Coin no.3) 9 x 9; Coin no.4) 8 x 9 mm; Coin no.5) 8 x 9 mm; Coin no.6) 9 x 9 mm,"""Humped bull seated to left within a beaded border"". (All Coins)","""Diagram of a lazy circle drawn with a knot at the top. The drawing varies from coin to coin and is perhaps intended for a heart shaped geometric design. The same is encircled by a beaded border"".(All Coins)",Unknown,Unknown,"Pp. 72 (ND, 25-26)",This coins possibly are imitation of Bharashiva Nagas of Padmavati.,In the collection of Prashant Kulkarni.
VDB05,Vidarbha,Uncertain coin,Coins with a conch shell,Vakataka,Depiction of conch shell in the Obverse,No,None,2,Copper,Coin no.1) 790 mg; Coin no.2) 740 mg,Coin no.1) 11 x 12 mm; Coin no.2) 11 x 12 mm,Coin no.1 and 2)A bold conch shell ,Coin no.1 and 2)Dotted border and indistinct symbol.,Unknown,Unknown,"Pp. 73 (ND, 25-26)",None,In the collection of Prashant Kulkarni.
VDB06,Vidarbha,Uncertain coin,Coins with Srivatsa symbol,Vakataka,Depiction of Lazy heart circle topped by knot in beaded circle in the reverse ,No,None,2,Copper,Coin no.1) 420 mg; Coin no.2) 290 mg,Coin no.1) 9 x 10 mm; Coin no.2) 8 x 9 mm,"Coin no.1 and 2)""Shri Vatsa symbol drawn by lines, surrounded by dotted border""","Coin no.1 and 2) ""Diagram of a lazy heart like-circle drawn with a knot at the top within a beaded border (like on the coin of Prithvishena).""",Unknown,Unknown,"Pp. 74 (ND, 25-26)",None,In the collection of Prashant Kulkarni.
VDB07,Vidarbha,Uncertain coin,"""This coin, in keeping with other hitherto known coins of the later members of the dynasty, is of the alloy called potin, but its obverse type is entirely new and the recerse design is equally novel though the main reverse device is well-known."".....""Circular though a projection on one side gives it an irregular shape."" (Shastri 1993 (3): 39). ""The legend on the obverse is very beeutifully arranged around the sun and the crescent-moon. The aksharas Siri-Pulumava (Siri-Pulumavi), which are the most important, are so adjusted as to represent each letter as emerging from a ray of the sun- 6 letters on six rays""....""The idea of Placing the moon and sun together is quite interesting and perhaps not without significance."" (Shastri 1993 (3): 41).",Satavahana,Name of the King in the legend,No,None,1,Potin,Coin no.1) 3.28 gms,"Coin no.1) 2.15 cm max, 1.8 cm min","Coin no.1) In the centre, a twelve-rayed sun position inside a crescent moon; Brahmi-Prakrit legend in second century AD characters commencing where the crescent begins: rano Vasithiputasa siri-Pulumavasa, the last word standing for Pulumavisa, the medial signs on ma and va and the upper portion of the three concluding letters being off the flan because the die was larger than the flan of the mettalic piece.","Coin no.1) Within a rectangle, an Ujjain symbol with a pellet in each orbs; only a single orb fully accomodated, and two only only partially and the fourth one completely out of the flan, becausen of defective striking as much space at the bottom and on left is left blank.",Shri Pulumavi,Unknown,"Pp. 40 (NS, 3)","""The Find-spot is not known exactly. But the coin came as a scrap to a smith's shop at Yavatmal where the scrap is received only from the nearby areas. Thus while there is no certainty about its provenance there can be no doubt that the coin comes from some areas of Vidarbha close to Yawatmal."" (Shastri 1993 (3): 42)",In the collection of Mr. Raghunath Sanghi.
VDB08,Vidarbha,Associated coin(s),Circular in shape,Vishnukundin,"Size, weight, fabric and devices",No,None,1,"Alloy of Copper, Zinc, tin and lead; well blended giving a silvery appearance.",Coin no.1) 3.700 gm ,Coin no.1) 1.5 cm,"Coin no.1) ""Bull standing to right, above  the bull one line Brahmi legend in bold charaters: ""Shri Ranamitra""","Coin no.1) Vase (fire -pot or fire-altar) flanked by lamp-stands within linear circle, radiating lines around. Upper half of the divices are of the flan.",Shri Ranamitra,Unknown,"Pp 82 (SSIC, 1)",None,Unknown
VDB09,Vidarbha,Associated coin(s),"""All the coins are of same type and the complete legend on them can be restored as Kevaran Maharathisa Gotamiputra Vijhasatisa.""",Early Historic/ Vakataka,"Two possibilities are suggested by the author; ""One is that he was a local ruler, contemporary  or near contemporary to the late Satavahanas. This would be suggested by the use of the metronymic Gotamiputra that is seen on the Satavahana or some other contemporary soins and the title Maharathi, which is used by many dynasties contemporary to the Satavahanas. The second Possibilty could be his identification with Vindyashakti, the first ruler of the Vakataka family.""",No,None,4,Copper,Coin no. 1) 1.00 gm; Coin no. 2) 0.96 gm; Coin no. 3) 0.92 gm; Coin no. 4) 0.78,Coin no. 1) 12mm; Coin no. 2) 13 mm; Coin no. 3) 13.8 x 11.8 mm; Coin no. 4) 12.6 x 10,"Coin no. 1) ""Three- arched hill surmounted by a crescent in the centre; wavy line on either side; legend in Brahmi, (I.) Kevarana Ma (bottom) harathisa Go (r.) tamiputrasa (top) Vi(jhasati) sa. ""Coin no. 2) As above; legend in Brahmi, (bottom)- - - -Go (r.) tamiputrasa (top) Vi(jhasati); Coin no. 3) As no.1; legend (I.) Kevararana Ma- - - - (top) Vijhasatisa""; Coin no. 4) As on 1, legend (I.) Kevarana- the rest is truncated.""","Coin no. 1) ""Tree-in-railing; on its right, triangle- headed standard."" Coin no. 2) ""Only railing of the tree- in-railing seen; on left,a taurine (not very clear); on right, faint traces of triangle- headed standard."" Coin no. 3) ""Tree in railing; symbols on either sidenot very clear."" Coin no. 4) ""As on above.""",Gautamiputra Vijhasatisa,Unknown,"Pp. 3 (IIRNS Newsline, 35)",Coin no. 1 and 2 are from British Musuem and Coin no 3 and 4 are from P.G. Bhargave collection.,Coin no. 1and 2) Are in British Musuem; Coin no. 3 and 4) In P. G. Bhargave's collection.
